year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,A,"Agriculture, Forestry and Fishing",a_0,Operating profit before tax,770,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Operating profit before tax,1247,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,223,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,126,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,80,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,39,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,37,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,93,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,2616,DOLLARS(millions)
2011,B,Mining,a_0,Operating profit before tax,636,DOLLARS(millions)
2011,B,Mining,b_1-5,Operating profit before tax,89,DOLLARS(millions)
2011,B,Mining,c_6-9,Operating profit before tax,0,DOLLARS(millions)
2011,B,Mining,d_10-19,Operating profit before tax,45,DOLLARS(millions)
2011,B,Mining,h_200+,Operating profit before tax,286,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Operating profit before tax,1895,DOLLARS(millions)
2011,C,Manufacturing,a_0,Operating profit before tax,204,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Operating profit before tax,241,DOLLARS(millions)
2011,C,Manufacturing,c_6-9,Operating profit before tax,128,DOLLARS(millions)
2011,C,Manufacturing,d_10-19,Operating profit before tax,98,DOLLARS(millions)
2011,C,Manufacturing,e_20-49,Operating profit before tax,508,DOLLARS(millions)
2011,C,Manufacturing,f_50-99,Operating profit before tax,510,DOLLARS(millions)
2011,C,Manufacturing,g_100-199,Operating profit before tax,679,DOLLARS(millions)
2011,C,Manufacturing,h_200+,Operating profit before tax,1508,DOLLARS(millions)
2011,C,Manufacturing,i_Industry_Total,Operating profit before tax,3875,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",a_0,Operating profit before tax,361,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Operating profit before tax,19,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Operating profit before tax,20,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Operating profit before tax,18,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Operating profit before tax,64,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Operating profit before tax,83,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Operating profit before tax,156,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",h_200+,Operating profit before tax,1417,DOLLARS(millions)
2011,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Operating profit before tax,2137,DOLLARS(millions)
2011,E,Construction,a_0,Operating profit before tax,425,DOLLARS(millions)
2011,E,Construction,b_1-5,Operating profit before tax,459,DOLLARS(millions)
2011,E,Construction,c_6-9,Operating profit before tax,119,DOLLARS(millions)
2011,E,Construction,d_10-19,Operating profit before tax,140,DOLLARS(millions)
2011,E,Construction,e_20-49,Operating profit before tax,137,DOLLARS(millions)
2011,E,Construction,f_50-99,Operating profit before tax,115,DOLLARS(millions)
2011,E,Construction,g_100-199,Operating profit before tax,125,DOLLARS(millions)
2011,E,Construction,h_200+,Operating profit before tax,330,DOLLARS(millions)
2011,E,Construction,i_Industry_Total,Operating profit before tax,1849,DOLLARS(millions)
2011,F,Wholesale Trade,a_0,Operating profit before tax,184,DOLLARS(millions)
2011,F,Wholesale Trade,b_1-5,Operating profit before tax,479,DOLLARS(millions)
2011,F,Wholesale Trade,c_6-9,Operating profit before tax,259,DOLLARS(millions)
2011,F,Wholesale Trade,d_10-19,Operating profit before tax,391,DOLLARS(millions)
2011,F,Wholesale Trade,e_20-49,Operating profit before tax,536,DOLLARS(millions)
2011,F,Wholesale Trade,f_50-99,Operating profit before tax,398,DOLLARS(millions)
2011,F,Wholesale Trade,g_100-199,Operating profit before tax,509,DOLLARS(millions)
2011,F,Wholesale Trade,h_200+,Operating profit before tax,409,DOLLARS(millions)
2011,F,Wholesale Trade,i_Industry_Total,Operating profit before tax,3164,DOLLARS(millions)
2011,G,Retail Trade,a_0,Operating profit before tax,93,DOLLARS(millions)
2011,G,Retail Trade,b_1-5,Operating profit before tax,236,DOLLARS(millions)
2011,G,Retail Trade,c_6-9,Operating profit before tax,97,DOLLARS(millions)
2011,G,Retail Trade,d_10-19,Operating profit before tax,57,DOLLARS(millions)
2011,G,Retail Trade,e_20-49,Operating profit before tax,73,DOLLARS(millions)
2011,G,Retail Trade,f_50-99,Operating profit before tax,76,DOLLARS(millions)
2011,G,Retail Trade,g_100-199,Operating profit before tax,142,DOLLARS(millions)
2011,G,Retail Trade,h_200+,Operating profit before tax,869,DOLLARS(millions)
2011,G,Retail Trade,i_Industry_Total,Operating profit before tax,1644,DOLLARS(millions)
2011,H,Accommodation and Food Services,a_0,Operating profit before tax,38,DOLLARS(millions)
2011,H,Accommodation and Food Services,b_1-5,Operating profit before tax,76,DOLLARS(millions)
2011,H,Accommodation and Food Services,c_6-9,Operating profit before tax,44,DOLLARS(millions)
2011,H,Accommodation and Food Services,d_10-19,Operating profit before tax,-31,DOLLARS(millions)
2011,H,Accommodation and Food Services,e_20-49,Operating profit before tax,56,DOLLARS(millions)
2011,H,Accommodation and Food Services,f_50-99,Operating profit before tax,28,DOLLARS(millions)
2011,H,Accommodation and Food Services,g_100-199,Operating profit before tax,42,DOLLARS(millions)
2011,H,Accommodation and Food Services,h_200+,Operating profit before tax,113,DOLLARS(millions)
2011,H,Accommodation and Food Services,i_Industry_Total,Operating profit before tax,366,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",a_0,Operating profit before tax,171,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",b_1-5,Operating profit before tax,149,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",c_6-9,Operating profit before tax,15,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",d_10-19,Operating profit before tax,55,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",e_20-49,Operating profit before tax,143,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",f_50-99,Operating profit before tax,98,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",g_100-199,Operating profit before tax,190,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",h_200+,Operating profit before tax,1001,DOLLARS(millions)
2011,I,"Transport, Postal and Warehousing",i_Industry_Total,Operating profit before tax,1822,DOLLARS(millions)
2011,J,Information Media and Telecommunications,a_0,Operating profit before tax,404,DOLLARS(millions)
2011,J,Information Media and Telecommunications,b_1-5,Operating profit before tax,32,DOLLARS(millions)
2011,J,Information Media and Telecommunications,c_6-9,Operating profit before tax,9,DOLLARS(millions)
2011,J,Information Media and Telecommunications,d_10-19,Operating profit before tax,21,DOLLARS(millions)
2011,J,Information Media and Telecommunications,e_20-49,Operating profit before tax,14,DOLLARS(millions)
2011,J,Information Media and Telecommunications,f_50-99,Operating profit before tax,42,DOLLARS(millions)
2011,J,Information Media and Telecommunications,g_100-199,Operating profit before tax,38,DOLLARS(millions)
2011,J,Information Media and Telecommunications,h_200+,Operating profit before tax,30,DOLLARS(millions)
2011,J,Information Media and Telecommunications,i_Industry_Total,Operating profit before tax,590,DOLLARS(millions)
2011,K,Financial and Insurance Services,a_0,Operating profit before tax,7284,DOLLARS(millions)
2011,K,Financial and Insurance Services,b_1-5,Operating profit before tax,1696,DOLLARS(millions)
2011,K,Financial and Insurance Services,c_6-9,Operating profit before tax,134,DOLLARS(millions)
2011,K,Financial and Insurance Services,d_10-19,Operating profit before tax,150,DOLLARS(millions)
2011,K,Financial and Insurance Services,e_20-49,Operating profit before tax,721,DOLLARS(millions)
2011,K,Financial and Insurance Services,f_50-99,Operating profit before tax,-113,DOLLARS(millions)
2011,K,Financial and Insurance Services,g_100-199,Operating profit before tax,304,DOLLARS(millions)
2011,K,Financial and Insurance Services,h_200+,Operating profit before tax,3636,DOLLARS(millions)
2011,K,Financial and Insurance Services,i_Industry_Total,Operating profit before tax,13812,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",a_0,Operating profit before tax,3290,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",b_1-5,Operating profit before tax,438,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",c_6-9,Operating profit before tax,57,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",d_10-19,Operating profit before tax,51,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",e_20-49,Operating profit before tax,-3,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",f_50-99,Operating profit before tax,52,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",g_100-199,Operating profit before tax,57,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",h_200+,Operating profit before tax,57,DOLLARS(millions)
2011,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Operating profit before tax,3999,DOLLARS(millions)
